sample_id,breed_id,species_id,source_split,split
Abyssinian_18,0,0,trainval,train
Abyssinian_180,0,0,trainval,train
Abyssinian_182,0,0,trainval,train
Abyssinian_184,0,0,trainval,train
Abyssinian_185,0,0,trainval,train
Abyssinian_19,0,0,trainval,train
Abyssinian_191,0,0,trainval,train
Abyssinian_192,0,0,trainval,train
Abyssinian_193,0,0,trainval,train
Abyssinian_195,0,0,trainval,train
Abyssinian_196,0,0,trainval,train
Abyssinian_197,0,0,trainval,train
Bengal_100,5,0,trainval,train
Bengal_101,5,0,trainval,train
Bengal_102,5,0,trainval,train
Bengal_103,5,0,trainval,train
Bengal_104,5,0,trainval,train
Bengal_105,5,0,trainval,train
Bengal_106,5,0,trainval,train
Bengal_107,5,0,trainval,train
Bengal_109,5,0,trainval,train
Bengal_11,5,0,trainval,train
Bengal_110,5,0,trainval,train
Bengal_111,5,0,trainval,train
Bengal_112,5,0,trainval,train
Bengal_113,5,0,trainval,train
Bengal_114,5,0,trainval,train
Bengal_116,5,0,trainval,train
Bengal_117,5,0,trainval,train
Bengal_118,5,0,trainval,train
Bengal_119,5,0,trainval,train
Bengal_12,5,0,trainval,train
Bengal_121,5,0,trainval,train
Bengal_124,5,0,trainval,train
Bengal_125,5,0,trainval,train
Bengal_126,5,0,trainval,train
Bengal_127,5,0,trainval,train
Bengal_129,5,0,trainval,train
Bengal_13,5,0,trainval,train
Bengal_131,5,0,trainval,train
Bengal_132,5,0,trainval,train
Bengal_133,5,0,trainval,train
Bengal_134,5,0,trainval,train
Bengal_135,5,0,trainval,train
Bengal_136,5,0,trainval,train
Bengal_137,5,0,trainval,train
Bengal_139,5,0,trainval,train
Bengal_14,5,0,trainval,train
Bengal_142,5,0,trainval,train
Bengal_143,5,0,trainval,train
Bengal_144,5,0,trainval,train
Bengal_145,5,0,trainval,train
Bengal_146,5,0,trainval,train
Bengal_147,5,0,trainval,train
Bengal_148,5,0,trainval,train
Bengal_149,5,0,trainval,train
Bengal_15,5,0,trainval,train
Bengal_151,5,0,trainval,train
Bengal_152,5,0,trainval,train
Bengal_153,5,0,trainval,train
Bengal_154,5,0,trainval,train
Bengal_156,5,0,trainval,train
Bengal_157,5,0,trainval,train
Bengal_158,5,0,trainval,train
Bengal_159,5,0,trainval,train
Bengal_16,5,0,trainval,train
Bengal_161,5,0,trainval,train
Bengal_162,5,0,trainval,train
Bengal_163,5,0,trainval,train
Bengal_164,5,0,trainval,train
Bengal_165,5,0,trainval,train
Bengal_166,5,0,trainval,train
Bengal_167,5,0,trainval,train
Bengal_168,5,0,trainval,train
Bengal_169,5,0,trainval,train
Bengal_17,5,0,trainval,train
Bengal_170,5,0,trainval,train
Bengal_172,5,0,trainval,train
Bengal_174,5,0,trainval,train
Bengal_175,5,0,trainval,train
Bengal_176,5,0,trainval,train
Bengal_177,5,0,trainval,train
Bengal_18,5,0,trainval,train
Bengal_180,5,0,trainval,train
Bengal_182,5,0,trainval,train
Bengal_183,5,0,trainval,train
Bengal_184,5,0,trainval,train
Bengal_185,5,0,trainval,train
Bengal_186,5,0,trainval,train
Bengal_187,5,0,trainval,train
Bengal_190,5,0,trainval,train
Bengal_191,5,0,trainval,train
Birman_10,6,0,trainval,train
Birman_100,6,0,trainval,train
Birman_101,6,0,trainval,train
Birman_102,6,0,trainval,train
Birman_104,6,0,trainval,train
Birman_105,6,0,trainval,train
Birman_106,6,0,trainval,train
Birman_108,6,0,trainval,train
Birman_109,6,0,trainval,train
Birman_11,6,0,trainval,train
Birman_111,6,0,trainval,train
Birman_112,6,0,trainval,train
Birman_113,6,0,trainval,train
Birman_115,6,0,trainval,train
Birman_116,6,0,trainval,train
Birman_117,6,0,trainval,train
Birman_118,6,0,trainval,train
Birman_120,6,0,trainval,train
Birman_121,6,0,trainval,train
Birman_122,6,0,trainval,train
Birman_123,6,0,trainval,train
Birman_124,6,0,trainval,train
Birman_126,6,0,trainval,train
Birman_127,6,0,trainval,train
Birman_129,6,0,trainval,train
Birman_130,6,0,trainval,train
Birman_132,6,0,trainval,train
Birman_133,6,0,trainval,train
Birman_134,6,0,trainval,train
Birman_135,6,0,trainval,train
Birman_136,6,0,trainval,train
Birman_138,6,0,trainval,train
Birman_140,6,0,trainval,train
Birman_141,6,0,trainval,train
Birman_142,6,0,trainval,train
Birman_143,6,0,trainval,train
Birman_144,6,0,trainval,train
Birman_145,6,0,trainval,train
Birman_146,6,0,trainval,train
Birman_147,6,0,trainval,train
Birman_148,6,0,trainval,train
Birman_149,6,0,trainval,train
Birman_15,6,0,trainval,train
Birman_150,6,0,trainval,train
Birman_151,6,0,trainval,train
Birman_153,6,0,trainval,train
Birman_154,6,0,trainval,train
Birman_155,6,0,trainval,train
Birman_156,6,0,trainval,train
Birman_157,6,0,trainval,train
Birman_16,6,0,trainval,train
Birman_160,6,0,trainval,train
Birman_161,6,0,trainval,train
Birman_162,6,0,trainval,train
Birman_163,6,0,trainval,train
Birman_164,6,0,trainval,train
Birman_166,6,0,trainval,train
Birman_167,6,0,trainval,train
Birman_168,6,0,trainval,train
Birman_169,6,0,trainval,train
Birman_170,6,0,trainval,train
Birman_171,6,0,trainval,train
Birman_172,6,0,trainval,train
Birman_173,6,0,trainval,train
Birman_174,6,0,trainval,train
Birman_175,6,0,trainval,train
Birman_176,6,0,trainval,train
Birman_177,6,0,trainval,train
Birman_178,6,0,trainval,train
Birman_179,6,0,trainval,train
Birman_18,6,0,trainval,train
Birman_180,6,0,trainval,train
Birman_181,6,0,trainval,train
Birman_182,6,0,trainval,train
Birman_183,6,0,trainval,train
Birman_184,6,0,trainval,train
Birman_185,6,0,trainval,train
Birman_187,6,0,trainval,train
Birman_188,6,0,trainval,train
Birman_190,6,0,trainval,train
Bombay_1,7,0,trainval,train
Bombay_100,7,0,trainval,train
Bombay_102,7,0,trainval,train
Bombay_103,7,0,trainval,train
Bombay_104,7,0,trainval,train
Bombay_105,7,0,trainval,train
Bombay_107,7,0,trainval,train
Bombay_108,7,0,trainval,train
Bombay_109,7,0,trainval,train
Bombay_110,7,0,trainval,train
Bombay_111,7,0,trainval,train
Bombay_112,7,0,trainval,train
Bombay_114,7,0,trainval,train
Bombay_115,7,0,trainval,train
Bombay_117,7,0,trainval,train
Bombay_118,7,0,trainval,train
Bombay_119,7,0,trainval,train
Bombay_12,7,0,trainval,train
Bombay_120,7,0,trainval,train
Bombay_121,7,0,trainval,train
Bombay_123,7,0,trainval,train
Bombay_125,7,0,trainval,train
Bombay_126,7,0,trainval,train
Bombay_127,7,0,trainval,train
Bombay_128,7,0,trainval,train
Bombay_129,7,0,trainval,train
Bombay_13,7,0,trainval,train
Bombay_130,7,0,trainval,train
Bombay_131,7,0,trainval,train
Bombay_132,7,0,trainval,train
Bombay_133,7,0,trainval,train
Bombay_135,7,0,trainval,train
Bombay_137,7,0,trainval,train
Bombay_14,7,0,trainval,train
Bombay_140,7,0,trainval,train
Bombay_141,7,0,trainval,train
Bombay_143,7,0,trainval,train
Bombay_144,7,0,trainval,train
Bombay_145,7,0,trainval,train
Bombay_148,7,0,trainval,train
Bombay_150,7,0,trainval,train
Bombay_152,7,0,trainval,train
Bombay_153,7,0,trainval,train
Bombay_155,7,0,trainval,train
Bombay_156,7,0,trainval,train
Bombay_157,7,0,trainval,train
Bombay_158,7,0,trainval,train
Bombay_159,7,0,trainval,train
Bombay_16,7,0,trainval,train
Bombay_160,7,0,trainval,train
Bombay_161,7,0,trainval,train
Bombay_162,7,0,trainval,train
Bombay_163,7,0,trainval,train
Bombay_164,7,0,trainval,train
Bombay_166,7,0,trainval,train
Bombay_167,7,0,trainval,train
Bombay_168,7,0,trainval,train
Bombay_169,7,0,trainval,train
Bombay_170,7,0,trainval,train
Bombay_171,7,0,trainval,train
Bombay_172,7,0,trainval,train
Bombay_173,7,0,trainval,train
Bombay_174,7,0,trainval,train
Bombay_175,7,0,trainval,train
Bombay_176,7,0,trainval,train
Bombay_18,7,0,trainval,train
Bombay_180,7,0,trainval,train
Bombay_181,7,0,trainval,train
Bombay_182,7,0,trainval,train
Bombay_183,7,0,trainval,train
Bombay_185,7,0,trainval,train
Bombay_186,7,0,trainval,train
Bombay_188,7,0,trainval,train
Bombay_191,7,0,trainval,train
Bombay_193,7,0,trainval,train
Bombay_194,7,0,trainval,train
Bombay_198,7,0,trainval,train
British_Shorthair_10,9,0,trainval,train
British_Shorthair_100,9,0,trainval,train
British_Shorthair_101,9,0,trainval,train
British_Shorthair_102,9,0,trainval,train
British_Shorthair_103,9,0,trainval,train
British_Shorthair_104,9,0,trainval,train
British_Shorthair_105,9,0,trainval,train
British_Shorthair_106,9,0,trainval,train
British_Shorthair_107,9,0,trainval,train
British_Shorthair_109,9,0,trainval,train
British_Shorthair_110,9,0,trainval,train
British_Shorthair_111,9,0,trainval,train
British_Shorthair_113,9,0,trainval,train
British_Shorthair_114,9,0,trainval,train
British_Shorthair_115,9,0,trainval,train
British_Shorthair_116,9,0,trainval,train
British_Shorthair_118,9,0,trainval,train
British_Shorthair_119,9,0,trainval,train
British_Shorthair_120,9,0,trainval,train
British_Shorthair_121,9,0,trainval,train
British_Shorthair_122,9,0,trainval,train
British_Shorthair_124,9,0,trainval,train
British_Shorthair_127,9,0,trainval,train
British_Shorthair_128,9,0,trainval,train
British_Shorthair_129,9,0,trainval,train
British_Shorthair_130,9,0,trainval,train
British_Shorthair_134,9,0,trainval,train
British_Shorthair_135,9,0,trainval,train
British_Shorthair_136,9,0,trainval,train
British_Shorthair_137,9,0,trainval,train
British_Shorthair_139,9,0,trainval,train
British_Shorthair_140,9,0,trainval,train
British_Shorthair_144,9,0,trainval,train
British_Shorthair_145,9,0,trainval,train
British_Shorthair_148,9,0,trainval,train
British_Shorthair_149,9,0,trainval,train
British_Shorthair_15,9,0,trainval,train
British_Shorthair_151,9,0,trainval,train
British_Shorthair_154,9,0,trainval,train
British_Shorthair_155,9,0,trainval,train
British_Shorthair_156,9,0,trainval,train
British_Shorthair_157,9,0,trainval,train
British_Shorthair_158,9,0,trainval,train
British_Shorthair_159,9,0,trainval,train
British_Shorthair_16,9,0,trainval,train
British_Shorthair_161,9,0,trainval,train
British_Shorthair_162,9,0,trainval,train
British_Shorthair_163,9,0,trainval,train
British_Shorthair_167,9,0,trainval,train
British_Shorthair_17,9,0,trainval,train
British_Shorthair_170,9,0,trainval,train
British_Shorthair_172,9,0,trainval,train
British_Shorthair_173,9,0,trainval,train
British_Shorthair_174,9,0,trainval,train
British_Shorthair_175,9,0,trainval,train
British_Shorthair_176,9,0,trainval,train
British_Shorthair_177,9,0,trainval,train
British_Shorthair_178,9,0,trainval,train
British_Shorthair_179,9,0,trainval,train
British_Shorthair_181,9,0,trainval,train
British_Shorthair_182,9,0,trainval,train
British_Shorthair_184,9,0,trainval,train
British_Shorthair_185,9,0,trainval,train
British_Shorthair_186,9,0,trainval,train
British_Shorthair_187,9,0,trainval,train
British_Shorthair_188,9,0,trainval,train
British_Shorthair_189,9,0,trainval,train
British_Shorthair_190,9,0,trainval,train
British_Shorthair_193,9,0,trainval,train
British_Shorthair_195,9,0,trainval,train
British_Shorthair_197,9,0,trainval,train
British_Shorthair_198,9,0,trainval,train
British_Shorthair_199,9,0,trainval,train
British_Shorthair_200,9,0,trainval,train
British_Shorthair_201,9,0,trainval,train
British_Shorthair_203,9,0,trainval,train
British_Shorthair_204,9,0,trainval,train
British_Shorthair_207,9,0,trainval,train
British_Shorthair_209,9,0,trainval,train
British_Shorthair_210,9,0,trainval,train
Egyptian_Mau_10,11,0,trainval,train
Egyptian_Mau_101,11,0,trainval,train
Egyptian_Mau_102,11,0,trainval,train
Egyptian_Mau_103,11,0,trainval,train
Egyptian_Mau_104,11,0,trainval,train
Egyptian_Mau_105,11,0,trainval,train
Egyptian_Mau_106,11,0,trainval,train
Egyptian_Mau_107,11,0,trainval,train
Egyptian_Mau_110,11,0,trainval,train
Egyptian_Mau_111,11,0,trainval,train
Egyptian_Mau_112,11,0,trainval,train
Egyptian_Mau_114,11,0,trainval,train
Egyptian_Mau_116,11,0,trainval,train
Egyptian_Mau_117,11,0,trainval,train
Egyptian_Mau_118,11,0,trainval,train
Egyptian_Mau_119,11,0,trainval,train
Egyptian_Mau_12,11,0,trainval,train
Egyptian_Mau_120,11,0,trainval,train
Egyptian_Mau_121,11,0,trainval,train
Egyptian_Mau_122,11,0,trainval,train
Egyptian_Mau_123,11,0,trainval,train
Egyptian_Mau_124,11,0,trainval,train
Egyptian_Mau_125,11,0,trainval,train
Egyptian_Mau_126,11,0,trainval,train
Egyptian_Mau_127,11,0,trainval,train
Egyptian_Mau_128,11,0,trainval,train
Egyptian_Mau_13,11,0,trainval,train
Egyptian_Mau_130,11,0,trainval,train
Egyptian_Mau_131,11,0,trainval,train
Egyptian_Mau_132,11,0,trainval,train
Egyptian_Mau_134,11,0,trainval,train
Egyptian_Mau_136,11,0,trainval,train
Egyptian_Mau_138,11,0,trainval,train
Egyptian_Mau_141,11,0,trainval,train
Egyptian_Mau_142,11,0,trainval,train
Egyptian_Mau_143,11,0,trainval,train
Egyptian_Mau_146,11,0,trainval,train
Egyptian_Mau_147,11,0,trainval,train
Egyptian_Mau_148,11,0,trainval,train
Egyptian_Mau_149,11,0,trainval,train
Egyptian_Mau_15,11,0,trainval,train
Egyptian_Mau_150,11,0,trainval,train
Egyptian_Mau_151,11,0,trainval,train
Egyptian_Mau_152,11,0,trainval,train
Egyptian_Mau_154,11,0,trainval,train
Egyptian_Mau_155,11,0,trainval,train
Egyptian_Mau_156,11,0,trainval,train
Egyptian_Mau_157,11,0,trainval,train
Egyptian_Mau_161,11,0,trainval,train
Egyptian_Mau_162,11,0,trainval,train
Egyptian_Mau_163,11,0,trainval,train
Egyptian_Mau_164,11,0,trainval,train
Egyptian_Mau_165,11,0,trainval,train
Egyptian_Mau_168,11,0,trainval,train
Egyptian_Mau_170,11,0,trainval,train
Egyptian_Mau_171,11,0,trainval,train
Egyptian_Mau_172,11,0,trainval,train
Egyptian_Mau_173,11,0,trainval,train
Egyptian_Mau_175,11,0,trainval,train
Egyptian_Mau_178,11,0,trainval,train
Egyptian_Mau_179,11,0,trainval,train
Egyptian_Mau_18,11,0,trainval,train
Egyptian_Mau_181,11,0,trainval,train
Egyptian_Mau_184,11,0,trainval,train
Egyptian_Mau_185,11,0,trainval,train
Egyptian_Mau_186,11,0,trainval,train
Egyptian_Mau_188,11,0,trainval,train
Egyptian_Mau_189,11,0,trainval,train
Egyptian_Mau_192,11,0,trainval,train
Egyptian_Mau_193,11,0,trainval,train
Egyptian_Mau_194,11,0,trainval,train
Egyptian_Mau_195,11,0,trainval,train
Egyptian_Mau_196,11,0,trainval,train
Egyptian_Mau_197,11,0,trainval,train
Maine_Coon_10,20,0,trainval,train
Maine_Coon_100,20,0,trainval,train
Maine_Coon_101,20,0,trainval,train
Maine_Coon_102,20,0,trainval,train
Maine_Coon_103,20,0,trainval,train
Maine_Coon_104,20,0,trainval,train
Maine_Coon_106,20,0,trainval,train
Maine_Coon_107,20,0,trainval,train
Maine_Coon_108,20,0,trainval,train
Maine_Coon_110,20,0,trainval,train
Maine_Coon_112,20,0,trainval,train
Maine_Coon_115,20,0,trainval,train
Maine_Coon_116,20,0,trainval,train
Maine_Coon_117,20,0,trainval,train
Maine_Coon_119,20,0,trainval,train
Maine_Coon_121,20,0,trainval,train
Maine_Coon_124,20,0,trainval,train
Maine_Coon_126,20,0,trainval,train
Maine_Coon_127,20,0,trainval,train
Maine_Coon_128,20,0,trainval,train
Maine_Coon_129,20,0,trainval,train
Maine_Coon_131,20,0,trainval,train
Maine_Coon_133,20,0,trainval,train
Maine_Coon_134,20,0,trainval,train
Maine_Coon_135,20,0,trainval,train
Maine_Coon_136,20,0,trainval,train
Maine_Coon_137,20,0,trainval,train
Maine_Coon_138,20,0,trainval,train
Maine_Coon_139,20,0,trainval,train
Maine_Coon_14,20,0,trainval,train
Maine_Coon_140,20,0,trainval,train
Maine_Coon_143,20,0,trainval,train
Maine_Coon_144,20,0,trainval,train
Maine_Coon_145,20,0,trainval,train
Maine_Coon_146,20,0,trainval,train
Maine_Coon_147,20,0,trainval,train
Maine_Coon_148,20,0,trainval,train
Maine_Coon_149,20,0,trainval,train
Maine_Coon_150,20,0,trainval,train
Maine_Coon_151,20,0,trainval,train
Maine_Coon_152,20,0,trainval,train
Maine_Coon_154,20,0,trainval,train
Maine_Coon_155,20,0,trainval,train
Maine_Coon_157,20,0,trainval,train
Maine_Coon_158,20,0,trainval,train
Maine_Coon_16,20,0,trainval,train
Maine_Coon_160,20,0,trainval,train
Maine_Coon_161,20,0,trainval,train
Maine_Coon_162,20,0,trainval,train
Maine_Coon_164,20,0,trainval,train
Maine_Coon_167,20,0,trainval,train
Maine_Coon_168,20,0,trainval,train
Maine_Coon_169,20,0,trainval,train
Maine_Coon_170,20,0,trainval,train
Maine_Coon_171,20,0,trainval,train
Maine_Coon_173,20,0,trainval,train
Maine_Coon_174,20,0,trainval,train
Maine_Coon_176,20,0,trainval,train
Maine_Coon_18,20,0,trainval,train
Maine_Coon_184,20,0,trainval,train
Maine_Coon_186,20,0,trainval,train
Maine_Coon_187,20,0,trainval,train
Maine_Coon_19,20,0,trainval,train
Maine_Coon_191,20,0,trainval,train
Maine_Coon_192,20,0,trainval,train
Maine_Coon_193,20,0,trainval,train
Maine_Coon_194,20,0,trainval,train
Maine_Coon_195,20,0,trainval,train
Maine_Coon_196,20,0,trainval,train
Maine_Coon_197,20,0,trainval,train
Maine_Coon_201,20,0,trainval,train
Maine_Coon_203,20,0,trainval,train
Maine_Coon_204,20,0,trainval,train
Maine_Coon_205,20,0,trainval,train
Maine_Coon_207,20,0,trainval,train
Maine_Coon_208,20,0,trainval,train
Maine_Coon_211,20,0,trainval,train
Maine_Coon_213,20,0,trainval,train
Maine_Coon_217,20,0,trainval,train
Maine_Coon_219,20,0,trainval,train
Persian_1,23,0,trainval,train
Persian_10,23,0,trainval,train
Persian_100,23,0,trainval,train
Persian_101,23,0,trainval,train
Persian_102,23,0,trainval,train
Persian_103,23,0,trainval,train
Persian_104,23,0,trainval,train
Persian_106,23,0,trainval,train
Persian_107,23,0,trainval,train
Persian_11,23,0,trainval,train
Persian_111,23,0,trainval,train
Persian_112,23,0,trainval,train
Persian_114,23,0,trainval,train
Persian_115,23,0,trainval,train
Persian_116,23,0,trainval,train
Persian_117,23,0,trainval,train
Persian_12,23,0,trainval,train
Persian_120,23,0,trainval,train
Persian_121,23,0,trainval,train
Persian_122,23,0,trainval,train
Persian_123,23,0,trainval,train
Persian_125,23,0,trainval,train
Persian_126,23,0,trainval,train
Persian_128,23,0,trainval,train
Persian_129,23,0,trainval,train
Persian_13,23,0,trainval,train
Persian_131,23,0,trainval,train
Persian_132,23,0,trainval,train
Persian_133,23,0,trainval,train
Persian_134,23,0,trainval,train
Persian_135,23,0,trainval,train
Persian_136,23,0,trainval,train
Persian_137,23,0,trainval,train
Persian_14,23,0,trainval,train
Persian_140,23,0,trainval,train
Persian_144,23,0,trainval,train
Persian_145,23,0,trainval,train
Persian_147,23,0,trainval,train
Persian_149,23,0,trainval,train
Persian_150,23,0,trainval,train
Persian_153,23,0,trainval,train
Persian_155,23,0,trainval,train
Persian_156,23,0,trainval,train
Persian_158,23,0,trainval,train
Persian_16,23,0,trainval,train
Persian_160,23,0,trainval,train
Persian_161,23,0,trainval,train
Persian_162,23,0,trainval,train
Persian_163,23,0,trainval,train
Persian_164,23,0,trainval,train
Persian_165,23,0,trainval,train
Persian_168,23,0,trainval,train
Persian_17,23,0,trainval,train
Persian_170,23,0,trainval,train
Persian_171,23,0,trainval,train
Persian_172,23,0,trainval,train
Persian_173,23,0,trainval,train
Persian_175,23,0,trainval,train
Persian_176,23,0,trainval,train
Persian_179,23,0,trainval,train
Persian_18,23,0,trainval,train
Persian_180,23,0,trainval,train
Persian_181,23,0,trainval,train
Persian_182,23,0,trainval,train
Persian_183,23,0,trainval,train
Persian_184,23,0,trainval,train
Persian_185,23,0,trainval,train
Persian_186,23,0,trainval,train
Persian_187,23,0,trainval,train
Persian_188,23,0,trainval,train
Persian_19,23,0,trainval,train
Persian_191,23,0,trainval,train
Persian_194,23,0,trainval,train
Persian_195,23,0,trainval,train
Persian_20,23,0,trainval,train
Persian_200,23,0,trainval,train
Persian_202,23,0,trainval,train
Persian_206,23,0,trainval,train
Persian_213,23,0,trainval,train
Persian_217,23,0,trainval,train
Ragdoll_1,26,0,trainval,train
Ragdoll_10,26,0,trainval,train
Ragdoll_100,26,0,trainval,train
Ragdoll_101,26,0,trainval,train
Ragdoll_103,26,0,trainval,train
Ragdoll_104,26,0,trainval,train
Ragdoll_105,26,0,trainval,train
Ragdoll_106,26,0,trainval,train
Ragdoll_107,26,0,trainval,train
Ragdoll_110,26,0,trainval,train
Ragdoll_112,26,0,trainval,train
Ragdoll_113,26,0,trainval,train
Ragdoll_115,26,0,trainval,train
Ragdoll_117,26,0,trainval,train
Ragdoll_118,26,0,trainval,train
Ragdoll_119,26,0,trainval,train
Ragdoll_121,26,0,trainval,train
Ragdoll_124,26,0,trainval,train
Ragdoll_125,26,0,trainval,train
Ragdoll_126,26,0,trainval,train
Ragdoll_127,26,0,trainval,train
Ragdoll_128,26,0,trainval,train
Ragdoll_129,26,0,trainval,train
Ragdoll_13,26,0,trainval,train
Ragdoll_130,26,0,trainval,train
Ragdoll_131,26,0,trainval,train
Ragdoll_132,26,0,trainval,train
Ragdoll_134,26,0,trainval,train
Ragdoll_135,26,0,trainval,train
Ragdoll_136,26,0,trainval,train
Ragdoll_137,26,0,trainval,train
Ragdoll_138,26,0,trainval,train
Ragdoll_139,26,0,trainval,train
Ragdoll_142,26,0,trainval,train
Ragdoll_143,26,0,trainval,train
Ragdoll_146,26,0,trainval,train
Ragdoll_147,26,0,trainval,train
Ragdoll_148,26,0,trainval,train
Ragdoll_149,26,0,trainval,train
Ragdoll_150,26,0,trainval,train
Ragdoll_151,26,0,trainval,train
Ragdoll_152,26,0,trainval,train
Ragdoll_153,26,0,trainval,train
Ragdoll_155,26,0,trainval,train
Ragdoll_156,26,0,trainval,train
Ragdoll_158,26,0,trainval,train
Ragdoll_159,26,0,trainval,train
Ragdoll_16,26,0,trainval,train
Ragdoll_160,26,0,trainval,train
Ragdoll_161,26,0,trainval,train
Ragdoll_163,26,0,trainval,train
Ragdoll_168,26,0,trainval,train
Ragdoll_170,26,0,trainval,train
Ragdoll_171,26,0,trainval,train
Ragdoll_172,26,0,trainval,train
Ragdoll_173,26,0,trainval,train
Ragdoll_174,26,0,trainval,train
Ragdoll_176,26,0,trainval,train
Ragdoll_177,26,0,trainval,train
Ragdoll_178,26,0,trainval,train
Ragdoll_179,26,0,trainval,train
Ragdoll_18,26,0,trainval,train
Ragdoll_180,26,0,trainval,train
Ragdoll_181,26,0,trainval,train
Ragdoll_182,26,0,trainval,train
Ragdoll_183,26,0,trainval,train
Ragdoll_185,26,0,trainval,train
Ragdoll_186,26,0,trainval,train
Ragdoll_188,26,0,trainval,train
Ragdoll_189,26,0,trainval,train
Ragdoll_190,26,0,trainval,train
Ragdoll_192,26,0,trainval,train
Ragdoll_193,26,0,trainval,train
Ragdoll_194,26,0,trainval,train
Ragdoll_196,26,0,trainval,train
Ragdoll_197,26,0,trainval,train
Ragdoll_198,26,0,trainval,train
Ragdoll_199,26,0,trainval,train
Ragdoll_201,26,0,trainval,train
Ragdoll_202,26,0,trainval,train
Russian_Blue_1,27,0,trainval,train
Russian_Blue_100,27,0,trainval,train
Russian_Blue_101,27,0,trainval,train
Russian_Blue_103,27,0,trainval,train
Russian_Blue_104,27,0,trainval,train
Russian_Blue_107,27,0,trainval,train
Russian_Blue_108,27,0,trainval,train
Russian_Blue_109,27,0,trainval,train
Russian_Blue_110,27,0,trainval,train
Russian_Blue_111,27,0,trainval,train
Russian_Blue_112,27,0,trainval,train
Russian_Blue_114,27,0,trainval,train
Russian_Blue_116,27,0,trainval,train
Russian_Blue_117,27,0,trainval,train
Russian_Blue_119,27,0,trainval,train
Russian_Blue_12,27,0,trainval,train
Russian_Blue_120,27,0,trainval,train
Russian_Blue_122,27,0,trainval,train
Russian_Blue_123,27,0,trainval,train
Russian_Blue_129,27,0,trainval,train
Russian_Blue_13,27,0,trainval,train
Russian_Blue_130,27,0,trainval,train
Russian_Blue_131,27,0,trainval,train
Russian_Blue_132,27,0,trainval,train
Russian_Blue_133,27,0,trainval,train
Russian_Blue_136,27,0,trainval,train
Russian_Blue_137,27,0,trainval,train
Russian_Blue_139,27,0,trainval,train
Russian_Blue_14,27,0,trainval,train
Russian_Blue_140,27,0,trainval,train
Russian_Blue_142,27,0,trainval,train
Russian_Blue_143,27,0,trainval,train
Russian_Blue_145,27,0,trainval,train
Russian_Blue_146,27,0,trainval,train
Russian_Blue_147,27,0,trainval,train
Russian_Blue_148,27,0,trainval,train
Russian_Blue_149,27,0,trainval,train
Russian_Blue_150,27,0,trainval,train
Russian_Blue_151,27,0,trainval,train
Russian_Blue_152,27,0,trainval,train
Russian_Blue_153,27,0,trainval,train
Russian_Blue_154,27,0,trainval,train
Russian_Blue_155,27,0,trainval,train
